Anton Paar Monowave Series
Serial Number: 82701239
Instrument Software Version: 4.10.10607.14

Processing Protocol;
Experiment Name;vb-4W-4min
Experiment Date;3/16/2023 10:00:47 AM
Experiment Unique ID;1169
User;Administrator
Vial Type;Glass vial G30
;
Steps;
Step;Program;Temperature;Time;Power;Cooling;Stirrer Speed
;;°C;hh:mm:ss;W;;rpm
1;Constant power;65;00:04:00;4;Off;600
2;Hold;-;00:00:00;850;Off;600
3;Cool down;65;-;-;On;600
;
Experiment Result;
Result;OK
;
;
Time;Step Time;Temp IR;Temp Ruby;Pressure;Power;Stirrer Speed;Fan Level;Step No.
hh:mm:ss;hh:mm:ss;°C;°C;bar;W;rpm;;
00:00:00;00:00:00;34;42;0.0;0;600;Off;1
00:00:01;00:00:01;34;42;0.0;4;600;Off;1
00:00:02;00:00:02;34;42;0.0;4;600;Off;1
00:00:03;00:00:03;34;42;0.0;4;600;Off;1
00:00:04;00:00:04;34;42;0.0;4;600;Off;1
00:00:05;00:00:05;34;42;0.0;4;600;Off;1
00:00:06;00:00:06;34;42;0.0;4;600;Off;1
00:00:07;00:00:07;34;42;0.0;4;600;Off;1
00:00:08;00:00:08;35;42;0.0;4;600;Off;1
00:00:09;00:00:09;34;42;0.0;4;600;Off;1
00:00:10;00:00:10;34;42;0.0;4;600;Off;1
00:00:11;00:00:11;35;42;0.0;4;600;Off;1
00:00:12;00:00:12;35;42;0.0;4;600;Off;1
00:00:13;00:00:13;34;42;0.0;4;600;Off;1
00:00:14;00:00:14;35;42;0.0;4;600;Off;1
00:00:15;00:00:15;34;42;0.0;4;600;Off;1
00:00:16;00:00:16;35;42;0.0;4;600;Off;1
00:00:17;00:00:17;35;42;0.0;4;600;Off;1
00:00:18;00:00:18;35;42;0.0;4;600;Off;1
00:00:19;00:00:19;35;42;0.0;4;600;Off;1
00:00:20;00:00:20;35;42;0.0;4;600;Off;1
00:00:21;00:00:21;35;42;0.0;4;600;Off;1
00:00:22;00:00:22;35;42;0.0;4;600;Off;1
00:00:23;00:00:23;35;42;0.0;4;600;Off;1
00:00:24;00:00:24;36;42;0.0;4;600;Off;1
00:00:25;00:00:25;35;42;0.0;4;600;Off;1
00:00:26;00:00:26;35;42;0.0;4;600;Off;1
00:00:27;00:00:27;35;42;0.0;4;600;Off;1
00:00:28;00:00:28;35;42;0.0;4;600;Off;1
00:00:29;00:00:29;35;42;0.0;4;600;Off;1
00:00:30;00:00:30;35;42;0.0;4;600;Off;1
00:00:31;00:00:31;35;42;0.0;4;600;Off;1
00:00:32;00:00:32;35;42;0.0;4;600;Off;1
00:00:33;00:00:33;36;42;0.0;4;600;Off;1
00:00:34;00:00:34;36;42;0.0;4;600;Off;1
00:00:35;00:00:35;36;42;0.0;4;600;Off;1
00:00:36;00:00:36;36;42;0.0;4;600;Off;1
00:00:37;00:00:37;36;42;0.0;4;600;Off;1
00:00:38;00:00:38;36;42;0.0;4;600;Off;1
00:00:39;00:00:39;36;42;0.0;4;600;Off;1
00:00:40;00:00:40;36;42;0.0;4;600;Off;1
00:00:41;00:00:41;36;42;0.0;4;600;Off;1
00:00:42;00:00:42;36;42;0.0;4;600;Off;1
00:00:43;00:00:43;36;42;0.0;4;600;Off;1
00:00:44;00:00:44;36;42;0.0;4;600;Off;1
00:00:45;00:00:45;36;42;0.0;4;600;Off;1
00:00:46;00:00:46;36;42;0.0;4;600;Off;1
00:00:47;00:00:47;36;42;0.0;4;600;Off;1
00:00:48;00:00:48;36;42;0.0;4;600;Off;1
00:00:49;00:00:49;36;42;0.0;4;600;Off;1
00:00:50;00:00:50;36;42;0.0;4;600;Off;1
00:00:51;00:00:51;37;42;0.0;4;600;Off;1
00:00:52;00:00:52;37;42;0.0;4;600;Off;1
00:00:53;00:00:53;37;42;0.0;4;600;Off;1
00:00:54;00:00:54;37;42;0.0;4;600;Off;1
00:00:55;00:00:55;37;42;0.0;4;600;Off;1
00:00:56;00:00:56;37;42;0.0;4;600;Off;1
00:00:57;00:00:57;37;42;0.0;4;600;Off;1
00:00:58;00:00:58;37;42;0.0;4;600;Off;1
00:00:59;00:00:59;37;43;0.0;4;600;Off;1
00:01:00;00:01:00;37;42;0.0;4;600;Off;1
00:01:01;00:01:01;37;42;0.0;4;600;Off;1
00:01:02;00:01:02;37;42;0.0;4;600;Off;1
00:01:03;00:01:03;37;42;0.0;4;600;Off;1
00:01:04;00:01:04;38;42;0.0;4;600;Off;1
00:01:05;00:01:05;38;42;0.0;4;600;Off;1
00:01:06;00:01:06;38;42;0.0;4;600;Off;1
00:01:07;00:01:07;38;42;0.0;4;600;Off;1
00:01:08;00:01:08;38;42;0.0;4;600;Off;1
00:01:09;00:01:09;38;42;0.0;4;600;Off;1
00:01:10;00:01:10;38;42;0.0;4;600;Off;1
00:01:11;00:01:11;38;43;0.0;4;600;Off;1
00:01:12;00:01:12;38;42;0.0;4;600;Off;1
00:01:13;00:01:13;38;42;0.0;4;600;Off;1
00:01:14;00:01:14;38;42;0.0;4;600;Off;1
00:01:15;00:01:15;39;42;0.0;4;600;Off;1
00:01:16;00:01:16;38;42;0.0;4;600;Off;1
00:01:17;00:01:17;38;42;0.0;4;600;Off;1
00:01:18;00:01:18;38;42;0.0;4;600;Off;1
