Anton Paar Monowave Series
Serial Number: 82701239
Instrument Software Version: 4.10.10607.14

Processing Protocol;
Experiment Name;vb-5W-tf
Experiment Date;3/15/2023 11:18:15 AM
Experiment Unique ID;1164
User;Administrator
Vial Type;Glass vial G30
;
Steps;
Step;Program;Temperature;Time;Power;Cooling;Stirrer Speed
;;C;hh:mm:ss;W;;rpm
1;Constant power;65;00:20:00;5;Off;600
2;Hold;-;00:00:00;850;Off;600
3;Cool down;65;-;-;On;600
;
Experiment Result;
Result;OK
;
;
Time;Step Time;Temp IR;Temp Ruby;Pressure;Power;Stirrer Speed;Fan Level;Step No.
hh:mm:ss;hh:mm:ss;C;C;bar;W;rpm;;
00:00:00;00:00:00;34;41;0.0;5;600;Off;1
00:00:01;00:00:01;33;41;0.0;5;600;Off;1
00:00:02;00:00:02;33;41;0.0;5;600;Off;1
00:00:03;00:00:03;33;41;0.0;5;600;Off;1
00:00:04;00:00:04;33;41;0.0;5;600;Off;1
00:00:05;00:00:05;33;41;0.0;5;600;Off;1
00:00:06;00:00:06;34;41;0.0;5;600;Off;1
00:00:07;00:00:07;33;41;0.0;5;600;Off;1
00:00:08;00:00:08;33;41;0.0;5;600;Off;1
00:00:09;00:00:09;34;41;0.0;5;600;Off;1
00:00:10;00:00:10;34;41;0.0;5;600;Off;1
00:00:11;00:00:11;34;41;0.0;5;600;Off;1
00:00:12;00:00:12;34;41;0.0;5;600;Off;1
00:00:13;00:00:13;34;41;0.0;5;600;Off;1
00:00:14;00:00:14;34;41;0.0;5;600;Off;1
00:00:15;00:00:15;34;41;0.0;5;600;Off;1
00:00:16;00:00:16;34;41;0.0;5;600;Off;1
00:00:17;00:00:17;34;41;0.0;5;600;Off;1
00:00:18;00:00:18;34;41;0.0;5;600;Off;1
00:00:19;00:00:19;34;41;0.0;5;600;Off;1
00:00:20;00:00:20;34;41;0.0;5;600;Off;1
00:00:21;00:00:21;34;41;0.0;5;600;Off;1
00:00:22;00:00:22;35;41;0.0;5;600;Off;1
00:00:23;00:00:23;34;41;0.0;5;600;Off;1
00:00:24;00:00:24;35;41;0.0;5;600;Off;1
00:00:25;00:00:25;35;41;0.0;5;600;Off;1
00:00:26;00:00:26;35;41;0.0;5;600;Off;1
00:00:27;00:00:27;35;41;0.0;5;600;Off;1
00:00:28;00:00:28;35;41;0.0;5;600;Off;1
00:00:29;00:00:29;35;41;0.0;5;600;Off;1
00:00:30;00:00:30;35;41;0.0;5;600;Off;1
00:00:31;00:00:31;36;41;0.0;5;600;Off;1
00:00:32;00:00:32;35;41;0.0;5;600;Off;1
00:00:33;00:00:33;35;41;0.0;5;600;Off;1
00:00:34;00:00:34;35;41;0.0;5;600;Off;1
00:00:35;00:00:35;35;41;0.0;5;600;Off;1
00:00:36;00:00:36;35;41;0.0;5;600;Off;1
00:00:37;00:00:37;36;41;0.0;5;600;Off;1
00:00:38;00:00:38;35;41;0.0;5;600;Off;1
00:00:39;00:00:39;36;41;0.0;5;600;Off;1
00:00:40;00:00:40;36;41;0.0;5;600;Off;1
00:00:41;00:00:41;36;41;0.0;5;600;Off;1
00:00:42;00:00:42;36;41;0.0;5;600;Off;1
00:00:43;00:00:43;37;41;0.0;5;600;Off;1
00:00:44;00:00:44;36;41;0.0;5;600;Off;1
00:00:45;00:00:45;37;41;0.0;5;600;Off;1
00:00:46;00:00:46;36;41;0.0;5;600;Off;1
00:00:47;00:00:47;37;41;0.0;5;600;Off;1
00:00:48;00:00:48;36;41;0.0;5;600;Off;1
00:00:49;00:00:49;37;41;0.0;5;600;Off;1
00:00:50;00:00:50;36;41;0.0;5;600;Off;1
00:00:51;00:00:51;37;41;0.0;5;600;Off;1
00:00:52;00:00:52;37;41;0.0;5;600;Off;1
00:00:53;00:00:53;37;41;0.0;5;600;Off;1
00:00:54;00:00:54;38;41;0.0;5;600;Off;1
00:00:55;00:00:55;37;41;0.0;5;600;Off;1
00:00:56;00:00:56;37;41;0.0;5;600;Off;1
00:00:57;00:00:57;38;41;0.0;5;600;Off;1
00:00:58;00:00:58;38;41;0.0;5;600;Off;1
00:00:59;00:00:59;37;41;0.0;5;600;Off;1
00:01:00;00:01:00;38;41;0.0;5;600;Off;1
00:01:01;00:01:01;38;41;0.0;5;600;Off;1
00:01:02;00:01:02;38;41;0.0;5;600;Off;1
00:01:03;00:01:03;38;41;0.0;5;600;Off;1
00:01:04;00:01:04;38;41;0.0;5;600;Off;1
00:01:05;00:01:05;38;41;0.0;5;600;Off;1
00:01:06;00:01:06;38;41;0.0;5;600;Off;1
00:01:07;00:01:07;39;41;0.0;5;600;Off;1
00:01:08;00:01:08;39;41;0.0;5;600;Off;1
00:01:09;00:01:09;39;41;0.0;5;600;Off;1
00:01:10;00:01:10;39;41;0.0;5;600;Off;1
00:01:11;00:01:11;39;41;0.0;5;600;Off;1
00:01:12;00:01:12;39;41;0.0;5;600;Off;1
00:01:13;00:01:13;39;41;0.0;5;600;Off;1
00:01:14;00:01:14;39;41;0.0;5;600;Off;1
00:01:15;00:01:15;39;41;0.0;5;600;Off;1
00:01:16;00:01:16;39;41;0.0;5;600;Off;1
00:01:17;00:01:17;39;41;0.0;5;600;Off;1
00:01:18;00:01:18;39;41;0.0;5;600;Off;1
00:01:19;00:01:19;40;41;0.0;5;600;Off;1
00:01:20;00:01:20;39;41;0.0;5;600;Off;1
00:01:21;00:01:21;40;41;0.0;5;600;Off;1
00:01:22;00:01:22;40;41;0.0;5;600;Off;1
00:01:23;00:01:23;40;41;0.0;5;600;Off;1
00:01:24;00:01:24;40;41;0.0;5;600;Off;1
00:01:25;00:01:25;40;41;0.0;5;600;Off;1
00:01:26;00:01:26;41;41;0.0;5;600;Off;1
00:01:27;00:01:27;40;41;0.0;5;600;Off;1
00:01:28;00:01:28;40;41;0.0;5;600;Off;1
00:01:29;00:01:29;40;41;0.0;5;600;Off;1
00:01:30;00:01:30;41;41;0.0;5;600;Off;1
00:01:31;00:01:31;41;41;0.0;5;600;Off;1
00:01:32;00:01:32;41;41;0.0;5;600;Off;1
00:01:33;00:01:33;41;41;0.0;5;600;Off;1
00:01:34;00:01:34;41;41;0.0;5;600;Off;1
00:01:35;00:01:35;41;41;0.0;5;600;Off;1
00:01:36;00:01:36;42;41;0.0;5;600;Off;1
00:01:37;00:01:37;41;41;0.0;5;600;Off;1
00:01:38;00:01:38;42;41;0.0;5;600;Off;1
00:01:39;00:01:39;42;41;0.0;5;600;Off;1
00:01:40;00:01:40;42;41;0.0;5;600;Off;1
00:01:41;00:01:41;42;41;0.0;5;600;Off;1
00:01:42;00:01:42;42;41;0.0;5;600;Off;1
00:01:43;00:01:43;42;41;0.0;5;600;Off;1
